"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"achievement:ACH_END_ESCAPE","Escape to Obristan","Ucieknij do Obristanu"
"achievement:ACH_END_IGNOREEZIC","Glory to Arstotzka","Niech żyje Arstoczka"
"achievement:ACH_END_IGNOREEZIC","Ignore all EZIC requests and work dutifully","Zignoruj wszystkie żądania EZIC i pracuj sumiennie"
"achievement:ACH_APT_CLASS5","Worker's Best","To co najlepsze"
"achievement:ACH_APT_CLASS5","Acquire a Class-5 Apartment","Zdobądź lokal kategorii C5"
"AccessPermitInner","ARSTOTZKA","ARSTOCZKA"
"AccessPermitInner","Access Permit","Zgoda na wstęp"
"AccessPermitInner","This permit grants conditional access to the sovereign nation of Arstotzka","Dokument umożliwia warunkowe przekroczenie granicy Arstoczki"
"AccessPermitInner","NAME","IMIĘ I NAZWISKO"
"AccessPermitInner","NATIONALITY","NARODOWOŚĆ"
"AccessPermitInner","PURPOSE","CEL"
"AccessPermitInner","HEIGHT","WZROST"
"AccessPermitInner","PHYSICAL APPEARANCE","CECHY SZCZEGÓLNE"
"AccessPermitInner","ID NUMBER","NR PASZPORTU"
"AccessPermitInner","DURATION","DŁUGOŚĆ POBYTU"
"AccessPermitInner","WEIGHT","WAGA"
"AccessPermitInner","ENTER BY","WAŻNA DO"
"AccessPermitInner","Keep on person","Noś przy sobie"
"AccessPermitInner","Ministry of Admission","Ministerstwo Przepływu Ludności"
"AsylumGrantInner","Arstotzka","Arstoczka"
"AsylumGrantInner","GRANT of ASYLUM","PRZYZNANIE AZYLU"
"AsylumGrantInner","This document grants conditional asylum status within Arstotzkan borders","Ten dokument daje warunkowo status azylanta na terenie Arstoczki"
"AsylumGrantInner","NAT","NAR"
"AsylumGrantInner","ID#","NR"
"AsylumGrantInner","DOB","UR"
"AsylumGrantInner","HT","WZR"
"AsylumGrantInner","WT","WG"
"AsylumGrantInner","Offer expires after","Oferta wygasa po"
"AsylumGrantInner","Ministry of Admission","Ministerstwo Przepływu Ludności"
"BizCardInnerFront","ENGINEERING","ZAKŁADY BUDOWLANE"
"BizCardInnerFront","Director","Prezes"
"BizCardInnerBack","WE NEED ENGINEERS","PRACA DLA INŻYNIERÓW"
"BizCardInnerBack","WILL BEAT .GOV PAY","PRZEBIJEMY RZĄDOWĄ"
"BizCardInnerBack","CONTACT NOW","PENSJĘ, DZWOŃ TERAZ"
"BrothelHelpInner","A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.","Niejaki <span>Dari Ludum</span> obiecał mi i siostrze dobrą pracę w Arstoczce."
"BrothelHelpInner","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.","Nie ufam mu. Boję się, że weźmie mój paszport i zmusi mnie do pracy w burdelu. Będzie dziś stał w kolejce."
"BrothelHelpInner","Please do something.","Proszę, zróbcie coś."
"BulletinInnerDiploTut","Diplomat","Dyplomata"
"BulletinInnerDiploTut","Verification Procedure","Procedura weryfikacji"
"BulletinInnerDiploTut","Verify issuing country","Sprawdzaj-cie kraj wydający dokument"
"BulletinInnerDiploTut","Verify identity","Spraw-dzajcie tożsamość"
"BulletinInnerDiploTut","Verify diplomatic access to Arstotzka","Weryfikujcie pełnomocnictwa na terytorium Arstoczki"
"BulletinInnerMissingTut","Missing documents can be correlated by highlighting counter and pertinent entry in rule book.","Brak dokumentów można wykazać zaznaczając blat i&nbsp;odpowiednią zasadę w&nbsp;księdze."
"BulletinInnerRuleTut","Correlate pertinent entry in rule book with violating information to enable further options.","Połączcie&nbsp;odpowiednią&nbsp;zasadę z księgi ze sprzeczną z nią informacją, by uzyskać dostęp do dalszych opcji."
"BulletinInnerContraTut","Correlate discovered weapons and contraband with rulebook entry.","Połączcie znalezioną broń lub kontrabandę z odpowiednią zasadą z księgi."
"BulletinInnerCorrelateTut","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.","Zaznaczcie parę sprzecznych informacji w&nbsp;trybie dochodzenia, by rozpocząć przesłuchanie."
"BulletinInnerTouchTut","Touch and drag to fine-tune highlighted selection.","Touch and drag to fine-tune highlighted selection."
"BulletinInnerPassportTut","Pay attention to passport nationality.","Zwracajcie uwagę na narodowość w paszporcie."
"BulletinInnerBoothTut","Arstotzkan<br>Ministry of Admission","Arstockie Ministerstwo<br>Przepływu Ludności"
"BulletinInnerBoothTut","Inspector's Booth","Stanowisko Inspektora"
"BulletinInnerBoothTut","Shutter","Żaluzje"
"BulletinInnerBoothTut","Counter","Blat"
"BulletinInnerBoothTut","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date","Księga zasad<br>Transkrypt<br>Biuletyn<br>Czas i data"
"BulletinInnerBoothTut2","Arstotzkan<br>Ministry of Admission","Arstockie Ministerstwo<br>Przepływu Ludności"
"BulletinInnerBoothTut2","Inspector's Booth","Stanowisko Inspektora"
"BulletinInnerBoothTut2","Shutter","Żaluzje"
"BulletinInnerBoothTut2","Counter","Blat"
"BulletinInnerBoothTut2","Audio Transcript<br>Rule Book<br>Weight<br>","Transkrypt<br>
Księga zasad<br>
Waga"
"BulletinInnerBoothTut2","Bulletin Storage<br>Time &amp; Date","Biuletyn<br>Czas i data"
"BulletinInnerGunTut","Weapons Protocol","Protokół użycia broni"
"BulletinInnerGunTut","WHEN ALARM SOUNDS","NA DŹWIĘK ALARMU"
"BulletinInnerGunTut","Drop key on tumbler to unlock weapon.","By uzyskać dostęp do broni, przeciągnijcie&nbsp;klucz&nbsp;do&nbsp;zamka."
"BulletinInnerGunTut","Select gun, aim and fire.","Wybierzcie broń, wycelujcie i&nbsp;pociągnijcie za spust."
"BulletinInnerGunTut","Time is short. Act fast.","Działajcie&nbsp;szybko&nbsp;i&nbsp;skutecznie."
"BulletinInnerFilerTut","Passport Confiscation","Konfiskata paszportu"
"BulletinInnerFilerTut","Verify ALTAN resident on id.","Sprawdzajcie dowody rezydentów AŁTANU."
"BulletinInnerFilerTut","Drop passport in confiscation drawer.","Wrzucajcie paszporty do szuflady na konfiskaty."
"BulletinInnerFilerTut","If arresting, confiscate before detaining.","Dokumenty skonfiskujcie przed aresztowaniem."
"BulletinInnerCriminals","Ministry of Justice","Ministerstwo Sprawiedliwości"
"BulletinInnerCriminals","WANTED CRIMINALS","POSZUKIWANI"
"BulletinInnerNews","NEWS","WIADOMOŚCI"
"BulletinPagesNote","CHECK ALL<br>PAGES","CZYTAJCIE<br>CAŁOŚĆ"
"CitationInner","M.O.A. CITATION","UPOMNIENIE MPL"
"DiplomaticAuthInner","Diplomatic<br>Authorization","Pełnomocnictwo<br>dyplomatyczne"
"DiplomaticAuthInner","This document authorizes named agent as a diplomatic entity of a Council of Nations member state.","Dokument uprawnia posiadacza do pełnienia funkcji dyplomatycznych z&nbsp;ramienia Rady Narodów."
"DiplomaticAuthInner","AGENT","AGENT"
"DiplomaticAuthInner","PASSPORT","PASZPORT"
"DiplomaticAuthInner","Unconditional access to all named Council of Nations member states must be granted upon presentation.","Okaziciel uzyska bezwarunkowy wstęp na terytorium wymienionych krajów członkowskich Rady Narodów."
"DiplomaticAuthInner","This document has no expiry.","Dokument ważny bezterminowo."
"DiplomaticAuthInner","COUNCIL OF NATIONS - SEVEN MEMBER FORUM","RADA NARODÓW - FORUM SIEDMIU PAŃSTW"
"EntryPermitInner","ARSTOTZKA","ARSTOCZKA"
"EntryPermitInner","Entry Permit","Zgoda na wjazd"
"EntryPermitInner","Conditional entry to the sovereign nation of Arstotzka is hereby granted to","Zezwala się na warunkowy wstęp na terytorium Arstoczki obywatelowi"
"EntryPermitInner","bearing passport number","legitymującemu się paszportem"
"EntryPermitInner","Purpose","Cel"
"EntryPermitInner","Duration","Pobyt"
"EntryPermitInner","Enter by","Ważna do"
"EntryPermitInner","Ministry of Admission","Ministerstwo Przepływu Ludności"
"EntryTicketInner","Arstotzka","Arstoczka"
"EntryTicketInner","ENTRY TICKET","KWIT WJAZDU"
"EntryTicketInner","VALID ON","WAŻNY"
"EzicNoteInnerOpen","READ QUICKLY","CZYTAJCIE SZYBKO"
"EzicNoteInnerOpen","RETURN TO MESSENGER","ODDAJCIE POSŁAŃCOWI"
"FamilyPhotoInner","HANG ON WALL","ZAWIESIĆ NA ŚCIANIE"
"FingerprintsInner","GIVE THIS PAPER TO APPLICANT","DAJCIE TEN DOKUMENT PETENTOWI"
"ForgeryFlyerInnerFront","NEED FORGED<br>OBRISTAN DOCS?","POTRZEBUJECIE<br>LEWYCH PAPIERÓW?"
"ForgeryFlyerInnerFront","""It looks so real!""","„Wygląda jak prawdziwy!”"
"ForgeryFlyerInnerFront","""Approved for entry!""","„Zezwalam na wjazd!”"
"ForgeryFlyerInnerFront","Fair rates!","Uczciwe ceny!"
"ForgeryFlyerInnerFront","No questions asked!","Żadnych pytań!"
"ForgeryFlyerInnerFront","Fast turnaround!","Krótkie terminy!"
"ForgeryFlyerInnerFront","CONDITIONS ON BACK","CENNIK NA ODWROCIE"
"ForgeryFlyerInnerBack","PRICING (EACH)","CENA (ZA SZTUKĘ)"
"ForgeryFlyerInnerBack","Passport *","Paszport *"
"ForgeryFlyerInnerBack","Entry Ticket","Kwit wjazdu"
"ForgeryFlyerInnerBack","*<br>","*<br>"
"ForgeryFlyerInnerBack","Client must provide existing Obristan passport to be modified with new info","Klient musi dostarczyć istniejący paszport Obristanu, w którym dokona się zmian"
"ForgeryFlyerInnerBack","Service at border Arstotzka/Obristan","Obsługa na granicy Arstoczka/Obristan"
"ForgeryFlyerInnerBack","Ask for Timofei Wee","Pytać o Timofieja Wee"
"GymFlyerInner","Underweight?Weak?Tired?","Za chudy?Słaby?Zmęczony?"
"GymFlyerInner","JOIN BEST GYM!","MASA SIŁA BARY"
"GymFlyerInner","GET BIG TOWN","MIASTO MASY"
"GymFlyerInner","East Grestin","Wschodnie Grestin"
"HintMissingInner","THIS ENTRANT HAS NO DOCUMENTS","TEN PETENT NIE MA DOKUMENTÓW"
"HintMissingInner","To proceed, use INSPECT mode to interrogate.","Aby kontynuować, rozpocznijcie DOCHODZENIE, a potem przesłuchanie."
"HintMissingInner","Review page 2 of today's bulletin for full instructions.","Na drugiej stronie dzisiejszego biuletynu są dalsze instrukcje."
"IdCardInner","ARSTOTZKA IDENTITY CARD","ARSTOCKI DOWÓD OSOBISTY"
"IdCardInner","DOB","UR"
"IdCardInner","HT.","WZR"
"IdCardInner","WT.","WG"
"IdentityRecordInner","M.O.A. IDENTITY RECORD","ODPIS Z KARTOTEKI MPL"
"IdentityRecordInner","NAME:","IM./NAZW.:"
"IdentityRecordInner","ALIAS:","PSEUD.:"
"IdentityRecordInner","Applicant's fingerprints and claimed name/alias must match this record.","Odciski palców i personalia muszą być zgodne z niniejszym wypisem."
"IdSupplementInner","IDENTITY<br>SUPPLEMENT","KARTA<br>IDENTYFIKAC."
"IdSupplementInner","HT","WZR"
"IdSupplementInner","WT","WG"
"IdSupplementInner","DESCRIPTION","WYGLĄD"
"IdSupplementInner","THUMB","ODCISK"
"IdSupplementInner","Keep on person","Noś przy sobie"
"IdSupplementInner","EXP.","WYG."
"LocketInnerOpen","To Sergiu from your Elisa","Dla Sergiu od twej Elisy"
"LocketInnerOpen","I Love You Always","Miłość na zawsze"
"LoveSongInner1","YOU","TY"
"LoveSongInner1","YOU ARE HOT LIKE FIRE","JAK OGIEN MNIE ROZPALASZ"
"LoveSongInner2","you","ty"
"LoveSongInner2","OBJECT OF DESIRE","ZADZE WE MNIE WYZWALASZ"
"LoveSongInner3","YOU<br>(AGAIN)","TY<br>(ZNOWU)"
"LoveSongInner3","WRAP MY HEART IN WIRE","ME SERCE SIECIA SCALASZ"
"LoveSongInner4","ApPROVED","ZgODA"
"LoveSongInner4","APPROVE MY VISA","I DAJ MI WIZE"
"tweak-passport-field-padding-left","2px","1px"
"PassportInnerAntegria","ENTRY VISA","WIZA WJAZDOWA"
"PassportInnerAntegria","DOB.","UR"
"PassportInnerAntegria","SEX","PŁĆ"
"PassportInnerAntegria","ISS.","WYD"
"PassportInnerAntegria","EXP.","WYG"
"PassportInnerAntegria","ANTEGRIA","ANTEGRIA"
"tweak-passport-arstotzka-nation","16px","16px"
"PassportInnerArstotzka","ENTRY VISA","WIZA WJAZDOWA"
"PassportInnerArstotzka","DOB.","UR"
"PassportInnerArstotzka","SEX","PŁĆ"
"PassportInnerArstotzka","ISS.","WYD"
"PassportInnerArstotzka","EXP.","WYG"
"PassportInnerArstotzka","ARSTOTZKA","ARSTOCZKA"
"PassportInnerImpor","ENTRY VISA","WIZA WJAZDOWA"
"PassportInnerImpor","DOB.","UR"
"PassportInnerImpor","SEX","PŁĆ"
"PassportInnerImpor","ISS.","WYD"
"PassportInnerImpor","EXP.","WYG"
"PassportInnerImpor","IMPOR","IMPOR"
"PassportInnerKolechia","ENTRY VISA","WIZA WJAZDOWA"
"PassportInnerKolechia","DOB.","UR"
"PassportInnerKolechia","SEX","PŁĆ"
"PassportInnerKolechia","ISS.","WYD"
"PassportInnerKolechia","EXP.","WYG"
"PassportInnerKolechia","KOLECHIA","KOLECHIA"
"PassportInnerObristan","ENTRY VISA","WIZA WJAZDOWA"
"PassportInnerObristan","DOB.","UR"
"PassportInnerObristan","SEX","PŁĆ"
"PassportInnerObristan","ISS.","WYD"
"PassportInnerObristan","EXP.","WYG"
"PassportInnerObristan","OBRISTAN","OBRISTAN"
"PassportInnerRepublia","ENTRY VISA","WIZA WJAZDOWA"
"PassportInnerRepublia","DOB.","UR"
"PassportInnerRepublia","SEX","PŁĆ"
"PassportInnerRepublia","ISS.","WYD"
"PassportInnerRepublia","EXP.","WYG"
"PassportInnerRepublia","REPUBLIA","REPUBLIA"
"PassportInnerUnitedFed","ENTRY VISA","WIZA WJAZDOWA"
"PassportInnerUnitedFed","DOB.","UR"
"PassportInnerUnitedFed","SEX","PŁĆ"
"PassportInnerUnitedFed","ISS.","WYD"
"PassportInnerUnitedFed","EXP.","WYG"
"PassportInnerUnitedFed","UNITED FEDERATION","ZJEDNOCZONA FEDERACJA"
"PlaqueOneInner","Ministry of Admission","Ministerstwo Przepływu Ludności"
"PlaqueOneInner","RECOGNITION","WYRÓŻNIENIE"
"PlaqueOneInner","FOR","ZA"
"PlaqueOneInner","HANG ON WALL","ZAWIESIĆ NA ŚCIANIE"
"PlaqueTwoInner","Ministry of Admission","Ministerstwo Przepływu Ludności"
"PlaqueTwoInner","RECOGNITION","WYRÓŻNIENIE"
"PlaqueTwoInner","FOR","ZA"
"PlaqueTwoInner","HANG ON WALL","ZAWIESIĆ NA ŚCIANIE"
"PoisonInnerBack","OPEN","TU OTWIERAĆ"
"PoisonInnerOpen1","DO NOT TOUCH POWDER","NIE<br>DOTYKAĆ PROSZKU"
"PoisonInnerOpen1","CLOSE","ZAMKNIĘCIE"
"PoisonInnerOpen2","ALIGN POWDER OVER PASSPORT","UMIEŚCIĆ PROSZEK NA PASZPORCIE"
"PoisonInnerOpen2","PUSH HARD TO AFFIX","MOCNO DOCISNĄĆ"
"PoisonInnerOpen2","CLOSE","ZAMKNIĘCIE"
"PoliceBadgeInner","MINISTRY OF INFORMATION","MINISTERSTWO INFORMACJI"
"PoliceBadgeInner","Office of Investigation","Biuro Dochodzeń"
"PoliceBadgeInner","East Grestin Division","Wydz. we Wsch. Grestin"
"PoliceBadgeInner","Special Investigator","Śledczy nadzwyczajny"
"PoliceBadgeInner","MOI","&nbsp;&nbsp;MI"
"PressPassInner","INTERNATIONAL","LEGITYMACJA"
"PressPassInner","PRESS","PRASA"
"PressPassInner","IDENTIFICATION","MIĘDZYNARODOWA"
"RuleDiploAccess","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA","PEŁNOMOCNICTWO<br>MUSI OBEJMOWAĆ<br>ARSTOCZKĘ"
"RuleIssuingCity","PASSPORT <span>ISS.</span> FIELD MUST BE VALID","MIEJSCE <span>WYD</span> PASZP. MUSI BYĆ WŁAŚCIWE"
"RuleSealRequired","DOCUMENT MUST<br>HAVE A SEAL","DOKUMENT MUSI BYĆ<br>OPIECZĘTOWANY"
"RulesInnerHome","Arstotzkan","Arstockie"
"RulesInnerHome","Ministry<span>of</span>Admission","Ministerstwo Przepływu Ludności"
"RulesInnerHome","RULES","ZASADY"
"RulesInnerHome","&amp;","I"
"RulesInnerHome","REGULATIONS","PRZEPISY"
"RulesInnerHome","for Inspectors","do użytku<br>Inspektorów"
"RulesInnerHome","CONTENTS","SPIS TREŚCI"
"RulesInnerHome","PROPERTY OF","WŁASNOŚĆ"
"RulesInnerHome","M.O.A","MPL"
"RulesInnerBasic","RULES","ZASADY"
"RulesInnerRegion","DIPLOMATIC SEALS","PIECZĘCIE DYPLOMATYCZNE"
"RulesInnerRegion","PASSPORT","PASZPORT"
"RulesInnerRegion","ISSUING CITIES","MIASTA WYDAJĄCE"
"RulesInnerRegionArstotzka","DISTRICTS","DYSTRYKTY"
"RulesInnerRegionArstotzka","PASSPORT","PASZPORT"
"RulesInnerRegionArstotzka","ISSUING CITIES","MIASTA WYDAJĄCE"
"RulesInnerBooth","INSPECTOR'S BOOTH","STANOWISKO INSPEKTORA"
"RulesInnerBooth","Shutter","Żaluzje"
"RulesInnerBooth","Counter","Blat"
"RulesInnerBooth","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date","Księga zasad<br>Transkrypt<br>Biuletyn<br>Czas i data"
"RulesInnerBooth","UPGRADES","ULEPSZENIA"
"RulesInnerBooth","NO UPGRADES<br>INSTALLED","BRAK ZAINSTALOWANYCH<br>ULEPSZEŃ"
"RulesInnerBooth2","INSPECTOR'S BOOTH","STANOWISKO INSPEKTORA"
"RulesInnerBooth2","Shutter","Żaluzje"
"RulesInnerBooth2","Counter","Blat"
"RulesInnerBooth2","Audio Trans.<br>Rule Book<br>Weight","Transkrypt<br>
Księga zasad<br>
Waga"
"RulesInnerBooth2","Bulletin<br>Time &amp; Date","Biuletyn<br>Czas i data"
"RulesInnerBooth2","UPGRADES","ULEPSZENIA"
"RulesInnerBooth2","NO UPGRADES<br>INSTALLED","BRAK ZAINSTALOWANYCH<br>ULEPSZEŃ"
"RulesInnerDocs","OFFICIALLY RECOGNIZED","OFICJALNIE UZNAWANE"
"RulesInnerDocs","DOCUMENTS","DOKUMENTY"
"RulesInnerDocs","CONTENTS","SPIS TREŚCI"
"RulesInnerEntryPermit","ENTRY PERMIT","ZGODA NA WJAZD"
"RulesInnerEntryPermit","VALID SEALS","WŁAŚCIWE PIECZĘCIE"
"RulesInnerIdCard","ARSTOTZKAN<br>ID CARD","ARSTOCKI<br>DOWÓD OSOBISTY"
"RulesInnerIdCard","ISSUED TO ALL ARSTOTZKAN CITIZENS","WYDAWANY OBYWATELOM ARSTOCZKI"
"RulesInnerIdCard","DISTRICTS","DYSTRYKTY"
"RulesInnerIdSupplement","IDENTITY<br>SUPPLEMENT","KARTA<br>IDENTYFIKACYJNA"
"RulesInnerIdSupplement","ISSUED TO ALL QUALIFIED FOREIGNERS","WYDAWANA WSZYSTKIM ZAAPROBOWANYM CUDZOZIEMCOM"
"RulesInnerIdSupplement","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE","WERYFIKUJCIE WYGLĄD ZEWNĘTRZNY W OPARCIU O PODANY OPIS"
"RulesInnerIdSupplement","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE","POBIERAJCIE ODCISKI PALCÓW TYLKO WTEDY, GDY ICH WZÓR ZNAJDUJE SIĘ W KARTOTECE"
"RulesInnerIdSupplement","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY","DOKUMENT WYDAWANY KRÓTKOTERMINOWO - SPRAWDZAJCIE UWAŻNIE DATĘ WYGAŚNIĘCIA"
"RulesInnerAccessPermit","ACCESS PERMIT","ZGODA NA WSTĘP"
"RulesInnerAccessPermit","VALID SEALS","WŁAŚCIWE PIECZĘCIE"
"RulesInnerAccessPermit","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT","TEN DOKUMENT ZASTĘPUJE ZGODĘ NA WJAZD I KARTĘ IDENTYFIKACYJNĄ"
"RulesInnerWorkPermit","WORK PASS","ZEZWOLENIE<br>NA PRACĘ"
"RulesInnerWorkPermit","ISSUED TO ALL QUALIFIED FOREIGN LABOR","WYDAWANE WSZYSTKIM ZAAPROBOWANYM PRACOWNIKOM&nbsp;SPOZA&nbsp;KRAJU"
"RulesInnerWorkPermit","VALID SEALS","WŁAŚCIWE PIECZĘCIE"
"RulesInnerDiplomaticAuth","DIPLOMATIC","PEŁNOMOCNICTWO"
"RulesInnerDiplomaticAuth","AUTHORIZATION","DYPLOMATYCZNE"
"RulesInnerDiplomaticAuth","VALIDATE SEAL WITH COUNTRY PAGE","PORÓWNUJCIE PIECZĘCIE ZE&nbsp;WZORAMI W KSIĘDZE"
"RulesInnerAsylumGrant","GRANT OF<br>ASYLUM","PRZYZNANIE<br>AZYLU"
"RulesInnerAsylumGrant","VALID SEALS","WŁAŚCIWE PIECZĘCIE"
"RulesInnerAsylumGrant","ALWAYS VERIFY FINGERPRINTS","ZAWSZE WERYFIKUJCIE ODCISKI PALCÓW"
"RulesInnerVaccineCert","VACCINE CERTIFICATE","KARTA SZCZEPIEŃ"
"RulesInnerVaccineCert","MINISTRY","MINISTERSTWO"
"RulesInnerVaccineCert","OF","&nbsp;"
"RulesInnerVaccineCert","HEALTH","ZDROWIA"
"RulesInnerVaccineCert","REGULATION DOCUMENT","ZARZĄDZENIA"
"RulesInnerVaccineCert","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS","WARUNKIEM WSTĘPU JEST ZASZCZEPIENIE NA POLIO"
"RulesInnerVaccineCert","NO EXCEPTIONS","BEZ WYJĄTKÓW"
"RulesInnerConfiscation","PASSPORT CONFISCATION","KONFISKATA PASZPORTU"
"RulesInnerConfiscation","DROP PASSPORT IN CONFISCATION DRAWER","WRZUCAJCIE PASZPORTY DO SZUFLADY NA KONFISKATY"
"RulesInnerConfiscation","POLICY","POLITYKA"
"RulesInnerConfiscation","PASSPORT MUST BE CONFISCATED BEFORE DETAINING","PASZPORT MUSI ZOSTAĆ SKONFISKOWANY PRZED ZATRZYMANIEM"
"RulesInnerConfiscation","MOI","MI"
"RulesInnerLast","PROPERTY OF","WŁASNOŚĆ"
"RulesInnerLast","M.O.A.","MPL"
"RulesInnerLast","GLORY TO ARSTOTZKA","NIECH ŻYJE ARSTOCZKA"
"RulesInnerLast","Arstotzkan","Arstockie"
"RulesInnerLast","Ministry of Admission","Ministerstwo Przepływu Ludności"
"RulesInnerLast","Rules &amp; Regulations","Zasady i przepisy"
"RulesInnerLast","for Inspectors","dla Inspektorów"
"RulesInnerLast","1982-1983 Edition","Wydanie 1982/83"
"RulesInnerLast","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY","NIE ROZPOWSZECHNIAĆ<br>POD GROŹBĄ KARY"
"RulesTabConfL","CONF.","KONF."
"RulesTabConfR","CONF.","KONF."
"RulesTabDocsL","DOCS","DOK."
"RulesTabDocsR","DOCS","DOK."
"RulesTabMapL","MAP","MAPA"
"RulesTabMapR","MAP","MAPA"
"RulesTabRulesL","RULES","ZASADY"
"RulesTabRulesR","RULES","ZASADY"
"RulesUpgrade0","TOGGLE INSPECT","TRYB DOCHODZENIA"
"RulesUpgrade0","SPACE","SPACJA"
"RulesUpgrade1","TOGGLE STAMP BAR","PASEK STEMPLA"
"RulesUpgrade1","TAB","TAB"
"RulesUpgrade2","RULEBOOK SHORTCUTS","SKRÓTY KSIĘGI ZASAD"
"RulesUpgrade3","QUICK INSPECT","SZYBKA INSPEKCJA"
"RulesUpgrade3","DOUBLE-CLICK","DWUKLIK"
"RulesUpgrade4","MULTITOUCH","MULTIDOTYK"
"SeizureSlipInner","Arstotzka Ministry of Admission","Ministerstwo Przepływu Ludności"
"SeizureSlipInner","PASSPORT SEIZURE SLIP","POKWITOWANIE KONFISKATY"
"SeizureSlipInner","ENTRY VISA","WIZA WJAZDOWA"
"SeizureSlipInner","Your passport has been seized.","Wasz paszport został zatrzymany."
"SeizureSlipInner","Contact 1509-6103 for redress.","Roszczenia pod nr 1509-6103."
