"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"AccessPermitInner","PHYSICAL APPEARANCE","身体的特徴"
"AccessPermitInner","ID NUMBER","ID番号"
"AccessPermitInner","DURATION","滞在期間"
"AccessPermitInner","WEIGHT","体重"
"AccessPermitInner","ENTER BY","入国期限"
"AccessPermitInner","Keep on person","常時携帯"
"AccessPermitInner","Ministry of Admission","入国管理省"
"AsylumGrantInner","Arstotzka","アルストツカ"
"AsylumGrantInner","GRANT of ASYLUM","亡命認可証"
"AsylumGrantInner","This document grants conditional asylum status within Arstotzkan borders","本許可証にて以下の者をアルストツカへの暫定亡命者として認める。"
"AsylumGrantInner","NAT","NAT"
"AsylumGrantInner","ID#","ID#"
"AsylumGrantInner","DOB","DOB"
"AsylumGrantInner","HT","HT"
"AsylumGrantInner","WT","WT"
"AsylumGrantInner","Offer expires after","有効期限"
"AsylumGrantInner","Ministry of Admission","入国管理省"
"BizCardInnerFront","ENGINEERING","ENGINEERING"
"BizCardInnerFront","Director","取締役"
"BizCardInnerBack","WE NEED ENGINEERS","エンジニア募集"
"BizCardInnerBack","WILL BEAT .GOV PAY","給与は政府支払い額以上！"
"BizCardInnerBack","CONTACT NOW","今すぐ連絡を！"
"BrothelHelpInner","A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.","私と妹は<span>Dari Ludum</span>という男に、アルストツカで良い仕事を紹介すると言われてやって来ました。"
"BrothelHelpInner","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.","でも彼は信用できません。<br>きっと私たちのパスポートを奪って売るつもりだと思います。<br>彼も、今日の列に並んでいます。"
"BrothelHelpInner","Please do something.","どうか助けて下さい。"
"BulletinInnerDiploTut","Diplomat","外交職員"
"BulletinInnerDiploTut","Verification Procedure","確認手順"
"BulletinInnerDiploTut","Verify issuing country","発行国を確認"
"BulletinInnerDiploTut","Verify identity","IDを確認"
"BulletinInnerDiploTut","Verify diplomatic access to Arstotzka","アルストツカへの外交入国の特権を所持しているか確認"
"BulletinInnerMissingTut","Missing documents can be correlated by highlighting counter and pertinent entry in rule book.","不足書類は、規則書内の関係記載箇所とカウンターを選択することで関連付けが可能。"
"BulletinInnerRuleTut","Correlate pertinent entry in rule book with violating information to enable further options.","違反箇所と規則書内の該当箇所を関連付けよ。"
"BulletinInnerContraTut","Correlate discovered weapons and contraband with rulebook entry.","武器・密輸品発見時には、規則書内の記載箇所と関連付けよ。"
"BulletinInnerCorrelateTut","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.","調査モードで矛盾する２つの情報を選択することで入国者への審問が可能。"
"BulletinInnerTouchTut","Touch and drag to fine-tune highlighted selection.","タッチ＆ドラッグで選択箇所を調整せよ。"
"BulletinInnerPassportTut","Pay attention to passport nationality.","パスポートに記載された国名に注意を払え。"
"BulletinInnerBoothTut","Arstotzkan<br>Ministry of Admission","アルストツカ<br>入国管理省"
"BulletinInnerBoothTut","Inspector's Booth","入国審査室"
"BulletinInnerBoothTut","Shutter","安全扉"
"BulletinInnerBoothTut","Counter","カウンター"
"BulletinInnerBoothTut","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date","規則書<br>録音記録<br>公報保管場所<br>時刻 &amp; 日付"
"BulletinInnerBoothTut2","Arstotzkan<br>Ministry of Admission","アルストツカ<br>入国管理省"
"BulletinInnerBoothTut2","Inspector's Booth","入国審査室"
"BulletinInnerBoothTut2","Shutter","安全扉"
"BulletinInnerBoothTut2","Counter","カウンター"
"BulletinInnerBoothTut2","Audio Transcript<br>Rule Book<br>Weight<br>","録音記録<br>
規則書<br>
体重"
"BulletinInnerBoothTut2","Bulletin Storage<br>Time &amp; Date","公報保管場所<br>時刻 &amp; 日付"
"BulletinInnerGunTut","Weapons Protocol","武器使用規定"
"BulletinInnerGunTut","WHEN ALARM SOUNDS","警報作動時"
"BulletinInnerGunTut","Drop key on tumbler to unlock weapon.","鍵穴にキーを差し込み、<br>武器を解錠。"
"BulletinInnerGunTut","Select gun, aim and fire.","銃を選び、狙いを定め狙撃。"
"BulletinInnerGunTut","Time is short. Act fast.","時間は限られている。<br>迅速に行動せよ。"
"BulletinInnerFilerTut","Passport Confiscation","パスポートの押収"
"BulletinInnerFilerTut","Verify ALTAN resident on id.","IDでアルタン住民か確認。"
"BulletinInnerFilerTut","Drop passport in confiscation drawer.","押収品の引き出しに<br>パスポートを入れよ。"
"BulletinInnerFilerTut","If arresting, confiscate before detaining.","逮捕する際は<br>拘束前に押収せよ。"
"BulletinInnerCriminals","Ministry of Justice","法務省"
"BulletinInnerCriminals","WANTED CRIMINALS","指名手配犯"
"BulletinInnerNews","NEWS","日報"
"BulletinPagesNote","CHECK ALL<br>PAGES","全ページを<br>確認せよ"
"CitationInner","M.O.A. CITATION","入管省 通告"
"DiplomaticAuthInner","Diplomatic<br>Authorization","外交特権<br>証明書"
"DiplomaticAuthInner","This document authorizes named agent as a diplomatic entity of a Council of Nations member state.","本書は下記の職員に国際評議会加盟国の外交官としての特権を認めるものである。"
"DiplomaticAuthInner","AGENT","職員"
"DiplomaticAuthInner","PASSPORT","パスポート"
"DiplomaticAuthInner","Unconditional access to all named Council of Nations member states must be granted upon presentation.","本書の提示により、以下に記載された全ての国際評議会加盟国に無条件で入国が許可される。"
"DiplomaticAuthInner","This document has no expiry.","本書に有効期限はない。"
"DiplomaticAuthInner","COUNCIL OF NATIONS - SEVEN MEMBER FORUM","国際評議会 - 七カ国フォーラム"
"EntryPermitInner","ARSTOTZKA","アルストツカ"
"EntryPermitInner","Entry Permit","入国許可証"
"EntryPermitInner","Conditional entry to the sovereign nation of Arstotzka is hereby granted to","下記の者は、主権国家アルストツカへの条件付き入国が認められる。"
"EntryPermitInner","bearing passport number","所持パスポート番号"
"EntryPermitInner","Purpose","目的"
"EntryPermitInner","Duration","滞在期間"
"EntryPermitInner","Enter by","入国期限"
"EntryPermitInner","Ministry of Admission","入国管理省"
"EntryTicketInner","Arstotzka","Arstotzka"
"EntryTicketInner","ENTRY TICKET","入国券"
"EntryTicketInner","VALID ON","有効日"
"EzicNoteInnerOpen","READ QUICKLY","スミヤカニ　ヨミ"
"EzicNoteInnerOpen","RETURN TO MESSENGER","シシャニ　ヘンキャク　セヨ"
"FamilyPhotoInner","HANG ON WALL","壁掛可能"
"FingerprintsInner","GIVE THIS PAPER TO APPLICANT","入国希望者に本紙を渡すこと"
"ForgeryFlyerInnerFront","NEED FORGED<br>OBRISTAN DOCS?","オブリスタンの<br>書類なら！"
"ForgeryFlyerInnerFront","""It looks so real!""","「どうみても本物！」"
"ForgeryFlyerInnerFront","""Approved for entry!""","「入国が許可されました！」"
"ForgeryFlyerInnerFront","Fair rates!","安心価格！"
"ForgeryFlyerInnerFront","No questions asked!","目的不問！"
"ForgeryFlyerInnerFront","Fast turnaround!","即発行！"
"ForgeryFlyerInnerFront","CONDITIONS ON BACK","各種条件は裏面"
"ForgeryFlyerInnerBack","PRICING (EACH)","価格（一通あたり）"
"ForgeryFlyerInnerBack","Passport *","パスポート"
"ForgeryFlyerInnerBack","Entry Ticket","入国券"
"ForgeryFlyerInnerBack","*<br>","*<br>"
"ForgeryFlyerInnerBack","Client must provide existing Obristan passport to be modified with new info","上書き用にオブリスタンの<br>最新パスポートをお客様ご自身に<br>ご用意して頂く必要がございます。"
"ForgeryFlyerInnerBack","Service at border Arstotzka/Obristan","アルストツカ／オブリスタン<br>国境付近にて営業中"
"ForgeryFlyerInnerBack","Ask for Timofei Wee","お問合せはTimofei Weeまで"
"GymFlyerInner","Underweight?Weak?Tired?","やせ過ぎ？貧相？疲れ気味？"
"GymFlyerInner","JOIN BEST GYM!","最強<br>ジムへ！"
"GymFlyerInner","GET BIG TOWN","ﾑｷﾑｷ ﾀｳﾝ"
"GymFlyerInner","East Grestin","東グレスティン"
"HintMissingInner","THIS ENTRANT HAS NO DOCUMENTS","この入国者は書類を持っていません"
"HintMissingInner","To proceed, use INSPECT mode to interrogate.","調査モードを使い審問することで、審査を進めることができます。"
"HintMissingInner","Review page 2 of today's bulletin for full instructions.","詳しい手順は本日の公報、<br>第２ページを参照。"
"IdCardInner","ARSTOTZKA IDENTITY CARD","アルストツカ IDカード"
"IdCardInner","DOB","DOB"
"IdCardInner","HT.","HT."
"IdCardInner","WT.","WT."
"IdentityRecordInner","M.O.A. IDENTITY RECORD","入管省 ID記録"
"IdentityRecordInner","NAME:","氏名:"
"IdentityRecordInner","ALIAS:","別名:"
"IdentityRecordInner","Applicant's fingerprints and claimed name/alias must match this record.","指紋及び氏名（又は別名）は本記録と合致必須。"
"IdSupplementInner","IDENTITY<br>SUPPLEMENT","身分証明<br>補足書"
"IdSupplementInner","HT","身長"
"IdSupplementInner","WT","体重"
"IdSupplementInner","DESCRIPTION","特徴"
"IdSupplementInner","THUMB","拇印"
"IdSupplementInner","Keep on person","常時携帯必須"
"IdSupplementInner","EXP.","期日"
"LocketInnerOpen","To Sergiu from your Elisa","To Sergiu from your Elisa"
"LocketInnerOpen","I Love You Always","I Love You Always"
"LoveSongInner1","YOU","YOU"
"LoveSongInner1","YOU ARE HOT LIKE FIRE","アナタはまるで熱い火~"
"LoveSongInner2","you","you"
"LoveSongInner2","OBJECT OF DESIRE","ワタシの欲望そのもの~"
"LoveSongInner3","YOU<br>(AGAIN)","YOU<br>(AGAIN)"
"LoveSongInner3","WRAP MY HEART IN WIRE","つかまえてワタシのココロ~"
"LoveSongInner4","ApPROVED","ApPROVED"
"LoveSongInner4","APPROVE MY VISA","ビザを認めてね"
"tweak-passport-field-padding-left","2px","2px"
"PassportInnerAntegria","ENTRY VISA","入国ビザ"
"PassportInnerAntegria","DOB.","DOB."
"PassportInnerAntegria","SEX","SEX"
"PassportInnerAntegria","ISS.","ISS."
"PassportInnerAntegria","EXP.","EXP."
"PassportInnerAntegria","ANTEGRIA","ANTEGRIA"
"tweak-passport-arstotzka-nation","16px","16px"
"PassportInnerArstotzka","ENTRY VISA","入国ビザ"
"PassportInnerArstotzka","DOB.","DOB."
"PassportInnerArstotzka","SEX","SEX"
"PassportInnerArstotzka","ISS.","ISS."
"PassportInnerArstotzka","EXP.","EXP."
"PassportInnerArstotzka","ARSTOTZKA","ARSTOTZKA"
"PassportInnerImpor","ENTRY VISA","入国ビザ"
"PassportInnerImpor","DOB.","DOB."
"PassportInnerImpor","SEX","SEX"
"PassportInnerImpor","ISS.","ISS."
"PassportInnerImpor","EXP.","EXP."
"PassportInnerImpor","IMPOR","IMPOR"
"PassportInnerKolechia","ENTRY VISA","入国ビザ"
"PassportInnerKolechia","DOB.","DOB."
"PassportInnerKolechia","SEX","SEX"
"PassportInnerKolechia","ISS.","ISS."
"PassportInnerKolechia","EXP.","EXP."
"PassportInnerKolechia","KOLECHIA","KOLECHIA"
"PassportInnerObristan","ENTRY VISA","入国ビザ"
"PassportInnerObristan","DOB.","DOB."
"PassportInnerObristan","SEX","SEX"
"PassportInnerObristan","ISS.","ISS."
"PassportInnerObristan","EXP.","EXP."
"PassportInnerObristan","OBRISTAN","OBRISTAN"
"PassportInnerRepublia","ENTRY VISA","入国ビザ"
"PassportInnerRepublia","DOB.","DOB."
"PassportInnerRepublia","SEX","SEX"
"PassportInnerRepublia","ISS.","ISS."
"PassportInnerRepublia","EXP.","EXP."
"PassportInnerRepublia","REPUBLIA","REPUBLIA"
"PassportInnerUnitedFed","ENTRY VISA","入国ビザ"
"PassportInnerUnitedFed","DOB.","DOB."
"PassportInnerUnitedFed","SEX","SEX"
"PassportInnerUnitedFed","ISS.","ISS."
"PassportInnerUnitedFed","EXP.","EXP."
"PassportInnerUnitedFed","UNITED FEDERATION","UNITED FEDERATION"
"PlaqueOneInner","Ministry of Admission","入国管理省"
"PlaqueOneInner","RECOGNITION","表彰"
"PlaqueOneInner","FOR","評価"
"PlaqueOneInner","HANG ON WALL","壁に掛けよ"
"PlaqueTwoInner","Ministry of Admission","入国管理省"
"PlaqueTwoInner","RECOGNITION","表彰"
"PlaqueTwoInner","FOR","評価"
"PlaqueTwoInner","HANG ON WALL","壁に掛けよ"
"PoisonInnerBack","OPEN","OPEN"
"PoisonInnerOpen1","DO NOT TOUCH POWDER","粉に触れるな"
"PoisonInnerOpen1","CLOSE","CLOSE"
"PoisonInnerOpen2","ALIGN POWDER OVER PASSPORT","パスポートの上に<br>粉を載せろ"
"PoisonInnerOpen2","PUSH HARD TO AFFIX","強く押し貼付"
"PoisonInnerOpen2","CLOSE","CLOSE"
"PoliceBadgeInner","MINISTRY OF INFORMATION","情報省"
"PoliceBadgeInner","Office of Investigation","捜査課"
"PoliceBadgeInner","East Grestin Division","東グレスティン区画"
"PoliceBadgeInner","Special Investigator","特殊捜査官"
"PoliceBadgeInner","MOI","MOI"
"PressPassInner","INTERNATIONAL","国際"
"PressPassInner","PRESS","報道官"
"PressPassInner","IDENTIFICATION","身分証明書"
"RuleDiploAccess","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA","特権証明による本国<br>入国は必ず許可せよ"
"RuleIssuingCity","PASSPORT <span>ISS.</span> FIELD MUST BE VALID","<span>ISS.</span>（発行都市）は<br>合致が必須"
"RuleSealRequired","DOCUMENT MUST<br>HAVE A SEAL","書類には印章が<br>必ず必要"
"RulesInnerHome","Arstotzkan","アルストツカ"
"RulesInnerHome","Ministry<span>of</span>Admission","入国管理省"
"RulesInnerHome","RULES","規則"
"RulesInnerHome","&amp;","及び"
"RulesInnerHome","REGULATIONS","規制"
"RulesInnerHome","for Inspectors","入国審査官用"
"RulesInnerHome","CONTENTS","目次"
"RulesInnerHome","PROPERTY OF","入管省"
"RulesInnerHome","M.O.A","所有蔵書"
"RulesInnerBasic","RULES","規則"
"RulesInnerRegion","DIPLOMATIC SEALS","外交印"
"RulesInnerRegion","PASSPORT","パスポート"
"RulesInnerRegion","ISSUING CITIES","発行都市"
"RulesInnerRegionArstotzka","DISTRICTS","行政区画"
"RulesInnerRegionArstotzka","PASSPORT","パスポート"
"RulesInnerRegionArstotzka","ISSUING CITIES","発行都市"
"RulesInnerBooth","INSPECTOR'S BOOTH","入国審査室"
"RulesInnerBooth","Shutter","安全扉"
"RulesInnerBooth","Counter","カウンター"
"RulesInnerBooth","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date","規則書<br>録音記録<br>公報<br>時刻 &amp; 日付"
"RulesInnerBooth","UPGRADES","アップグレード"
"RulesInnerBooth","NO UPGRADES<br>INSTALLED","アップグレードは<br>ありません"
"RulesInnerBooth2","INSPECTOR'S BOOTH","入国審査室"
"RulesInnerBooth2","Shutter","安全扉"
"RulesInnerBooth2","Counter","カウンター"
"RulesInnerBooth2","Audio Trans.<br>Rule Book<br>Weight","録音記録<br>
規則書<br>
体重"
"RulesInnerBooth2","Bulletin<br>Time &amp; Date","公報<br>時刻 &amp; 日付"
"RulesInnerBooth2","UPGRADES","アップグレード"
"RulesInnerBooth2","NO UPGRADES<br>INSTALLED","アップグレードは<br>ありません"
"RulesInnerDocs","OFFICIALLY RECOGNIZED","公式認定済"
"RulesInnerDocs","DOCUMENTS","書類一覧"
"RulesInnerDocs","CONTENTS","目次"
"RulesInnerEntryPermit","ENTRY PERMIT","入国許可証"
"RulesInnerEntryPermit","VALID SEALS","正式印章"
"RulesInnerIdCard","ARSTOTZKAN<br>ID CARD","アルストツカ<br>国民IDカード"
"RulesInnerIdCard","ISSUED TO ALL ARSTOTZKAN CITIZENS","すべての本国<br>国民に発行"
"RulesInnerIdCard","DISTRICTS","行政区画"
"RulesInnerIdSupplement","IDENTITY<br>SUPPLEMENT","身分証明<br>補足書"
"RulesInnerIdSupplement","ISSUED TO ALL QUALIFIED FOREIGNERS","すべての<br>外国人に発行"
"RulesInnerIdSupplement","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE","外国人の身体的特徴を確認"
"RulesInnerIdSupplement","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE","指紋記録が使用できない時に限り拇印を確認"
"RulesInnerIdSupplement","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY","本書類は短期間の限定発行であるため、有効期日を慎重に確認"
"RulesInnerAccessPermit","ACCESS PERMIT","入境許可証"
"RulesInnerAccessPermit","VALID SEALS","正式印章"
"RulesInnerAccessPermit","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT","本書は入国許可証及び<br>身分証明補足書の<br>代替品である"
"RulesInnerWorkPermit","WORK PASS","労働許可証"
"RulesInnerWorkPermit","ISSUED TO ALL QUALIFIED FOREIGN LABOR","すべての外国人<br>労働者に発行"
"RulesInnerWorkPermit","VALID SEALS","正式印章"
"RulesInnerDiplomaticAuth","DIPLOMATIC","外交"
"RulesInnerDiplomaticAuth","AUTHORIZATION","特権証明書"
"RulesInnerDiplomaticAuth","VALIDATE SEAL WITH COUNTRY PAGE","正式印章は<br>各国ページ参照"
"RulesInnerAsylumGrant","GRANT OF<br>ASYLUM","亡命認可証"
"RulesInnerAsylumGrant","VALID SEALS","正式印章"
"RulesInnerAsylumGrant","ALWAYS VERIFY FINGERPRINTS","必ず指紋照合せよ"
"RulesInnerVaccineCert","VACCINE CERTIFICATE","ワクチン証明書"
"RulesInnerVaccineCert","MINISTRY","国家"
"RulesInnerVaccineCert","OF","."
"RulesInnerVaccineCert","HEALTH","衛生省"
"RulesInnerVaccineCert","REGULATION DOCUMENT","規制書類"
"RulesInnerVaccineCert","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS","全入国者にポリオ<br>ワクチンの接種が必要"
"RulesInnerVaccineCert","NO EXCEPTIONS","例外はない"
"RulesInnerConfiscation","PASSPORT CONFISCATION","パスポート押収"
"RulesInnerConfiscation","DROP PASSPORT IN CONFISCATION DRAWER","押収品引き出しに<br>入れよ"
"RulesInnerConfiscation","POLICY","指針"
"RulesInnerConfiscation","PASSPORT MUST BE CONFISCATED BEFORE DETAINING","拘束前にパスポートを<br>押収せよ"
"RulesInnerConfiscation","MOI","MOI"
"RulesInnerLast","PROPERTY OF","入管省"
"RulesInnerLast","M.O.A.","所有蔵書"
"RulesInnerLast","GLORY TO ARSTOTZKA","アルストツカに<br>栄光あれ"
"RulesInnerLast","Arstotzkan","アルストツカ"
"RulesInnerLast","Ministry of Admission","入国管理省"
"RulesInnerLast","Rules &amp; Regulations","規則 及び 規制"
"RulesInnerLast","for Inspectors","審査官用"
"RulesInnerLast","1982-1983 Edition","1982-1983 年版"
"RulesInnerLast","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY","流出厳禁<br>違反の場合<br>酷刑に処す"
"RulesTabConfL","CONF.","押収"
"RulesTabConfR","CONF.","押収"
"RulesTabDocsL","DOCS","書類"
"RulesTabDocsR","DOCS","書類"
"RulesTabMapL","MAP","地図"
"RulesTabMapR","MAP","地図"
"RulesTabRulesL","RULES","規則"
"RulesTabRulesR","RULES","規則"
"RulesUpgrade0","TOGGLE INSPECT","調査モード切換"
"RulesUpgrade0","SPACE","SPACE"
"RulesUpgrade1","TOGGLE STAMP BAR","押印バー表示"
"RulesUpgrade1","TAB","TAB"
"RulesUpgrade2","RULEBOOK SHORTCUTS","規則書<br>ショートカット"
"RulesUpgrade3","QUICK INSPECT","短縮調査"
"RulesUpgrade3","DOUBLE-CLICK","ダブルクリック"
"RulesUpgrade4","MULTITOUCH","マルチタッチ"
"SeizureSlipInner","Arstotzka Ministry of Admission","アルストツカ 入国管理省"
"SeizureSlipInner","PASSPORT SEIZURE SLIP","パスポート押収伝票"
"SeizureSlipInner","ENTRY VISA","入国ビザ"
"SeizureSlipInner","Your passport has been seized.","貴方のパスポートは<br>差し押さえられました。"
"SeizureSlipInner","Contact 1509-6103 for redress.","返還の問合せは1509-6103へ"
"SpyDocsInnerBack","Mating Habits of Lesser Kolechian Waterfowl","コレチアコガモの<br>交尾行動"
"SpyDocsInnerBack","A FULL REPORT","詳報"
"SpyDocsInnerBack","Ministry of Information","情報省"
"TranscriptInner","AUDIO TRANSCRIPT","録音記録"
"VaccineCertInner","Certificate<span>of</span>Vaccination","ワクチン<span>.</span>接種証明書"
"VaccineCertInner","ID#","ID#"
"VaccineCertInner","DATE","接種日"
"VaccineCertInner","VACCINE","ワクチン名"
"VaccineCertInner","Vax valid for 3 years","ワクチン有効期間：３年間"
"VisaSlipInner","TEMPORARY VISA SLIP","仮ビザ伝票"
"VisaSlipInner","ENTRY VISA","入国ビザ"
"VisaSlipInner","TO BE USED FOR DENIALS ONLY","入国拒否時のみ使用"
"WorkPermitInner","Ministry of Labor","労働省"
"WorkPermitInner","Work Pass","労働許可証"
"WorkPermitInner","This pass grants its holder the right to work in a specific field for a limited time.","本許可証は、記載職種での就労を下記の所持人に限定期間内、認めるものである。"
"WorkPermitInner","HOLDER","氏名"
"WorkPermitInner","FIELD","職種"
"WorkPermitInner","UNTIL","期日"
"WorkPermitInner","Keep this pass with you at all times.","本許可証は常時携帯必須"
"EndNews","Kolechian Consensus Reached Over Grestin","グレスティンに関して<br>コレチア合意"
"ApartmentClass","CLASS","等級"
"DetainButton","DETAIN","拘束"
"FingerprintButton","FINGERPRINT","指紋"
"SearchButton","SEARCH","検査"
"EmblemsMOA","M.O.A","M.O.A"
"EmblemsMOA","M.O.L","M.O.L"
"EmblemsMOL","M.O.L","M.O.L"
"Filer","CONFISCATED DOCUMENTS","押収書類"
"Filer","PROPERTY OF","PROPERTY OF"
"Filer","M.O.A.","M.O.A."
"GiveIcon","GIVE","渡す"
"LoadButtonNew","NEW","NEW"
"LoadDay","DAY","DAY"
"LoadDrag","DRAG TO SCROLL","ドラッグ スクロール"
"News","The Truth of Arstotzka","The Truth of Arstotzka"
"News","No Charge","無料"
"ReasonButton","REASON","事由"
"RifleKill","KILL","殺傷用"
"RifleTranq","TRANQ","麻酔用"
"StampBarMid","ALIGN VISA BENEATH STAMP","パスポートをスタンプの下に配置"
"Upgrades","SPACE","SPACE"
"Upgrades","TAB","TAB"
"image:ArskickersInner.png","capture/ArskickersInner.png","capture/ArskickersInner.png"
"ArskickersInner","HANG ON WALL","壁掛可能"
"image:BrothelFlyerInner.png","capture/BrothelFlyerInner.png","capture/BrothelFlyerInner.png"
"BrothelFlyerInner","East Grestin","東グレスティン"
"BrothelFlyerInner","FOR ALL YOUR FANTASIES","あなたの妄想 すべて叶えます"
"image:PezpertInner.png","capture/PezpertInner.png","capture/PezpertInner.png"
"PezpertInner","STAMP HERE","ここ押して"
"image:SonDrawingInner.png","capture/SonDrawingInner.png","capture/SonDrawingInner.png"
"SonDrawingInner","hanG on wAll","壁にかけれるよ"
"image:SonDrawingOuter.png","capture/SonDrawingOuter.png","capture/SonDrawingOuter.png"
"image:SonDrawingMount.png","capture/SonDrawingMount.png","capture/SonDrawingMount.png"
"image:VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png"
"image:Emotions.png","export/Emotions.png","export/Emotions.png"
"image:LoadButtonLatest.png","export/LoadButtonLatest.png","export/LoadButtonLatest.png"
"image:InkApproved.png","export/InkApproved.png","export/InkApproved.png"
"image:InkDenied.png","export/InkDenied.png","export/InkDenied.png"
"image:StampBotApproved.png","export/StampBotApproved.png","export/StampBotApproved.png"
"image:StampBotDenied.png","export/StampBotDenied.png","export/StampBotDenied.png"
"image:ReasonStampTop.png","export/ReasonStampTop.png","export/ReasonStampTop.png"
"image:InkReason.png","export/InkReason.png","export/InkReason.png"
"image:Arstotzka.png","export/Arstotzka.png","export/Arstotzka.png"
"image:Intro1.png","export/Intro1.png","export/Intro1.png"
"image:Obrinspector.png","export/Obrinspector.png","export/Obrinspector.png"
