"CONTEXT", "ID", "TEXT"
"FingerprintsInner","GIVE THIS PAPER TO APPLICANT","FÜR DEN EINREISEWILLIGEN"
"ForgeryFlyerInnerFront","NEED FORGED<br>OBRISTAN DOCS?","GEFÄLSCHTE URKUN-<br>DEN FÜR OBRISTAN?"
"ForgeryFlyerInnerFront","""It looks so real!""","""Sieht total echt aus!"""
"ForgeryFlyerInnerFront","""Approved for entry!""","""Einreise genehmigt!"""
"ForgeryFlyerInnerFront","Fair rates!","Faire Preise!"
"ForgeryFlyerInnerFront","No questions asked!","Keine Fragen!"
"ForgeryFlyerInnerFront","Fast turnaround!","Schnelle Bearbeitung!"
"ForgeryFlyerInnerFront","CONDITIONS ON BACK","BEDINGUNGEN S. RÜCKSEITE"
"ForgeryFlyerInnerBack","PRICING (EACH)","PREIS (STÜCK)"
"ForgeryFlyerInnerBack","Passport *","Paß *"
"ForgeryFlyerInnerBack","Entry Ticket","Einreisebeleg"
"ForgeryFlyerInnerBack","*<br>","*<br>"
"ForgeryFlyerInnerBack","Client must provide existing Obristan passport to be modified with new info","Kunde muß obristischen Paß zwecks Änderung vorlegen."
"ForgeryFlyerInnerBack","Service at border Arstotzka/Obristan","Service an der Grenze von Arstotzka/Obristan"
"ForgeryFlyerInnerBack","Ask for Timofei Wee","Fragen Sie nach Timofei Wee"
"GymFlyerInner","Underweight?Weak?Tired?","Untergewicht? Schwach?"
"GymFlyerInner","JOIN BEST GYM!","DAS TOP- GYM!"
"GymFlyerInner","GET BIG TOWN","DIE MUCKIBUDE"
"GymFlyerInner","East Grestin","Ost-Grestin"
"HintMissingInner","THIS ENTRANT HAS NO DOCUMENTS","EINREISEWILLIGER OHNE PAPIERE"
"HintMissingInner","To proceed, use INSPECT mode to interrogate.","Wählen Sie zum Fortfahren den PRÜFEN-Modus, um ein Verhör zu beginnen."
"HintMissingInner","Review page 2 of today's bulletin for full instructions.","Auf S. 2 der heutigen Depeschen finden Sie alle Anweisungen."
"IdCardInner","ARSTOTZKA IDENTITY CARD","ARSTOTZKA - AUSWEIS"
"IdCardInner","DOB","GEB"
"IdCardInner","HT.","GRÖ"
"IdCardInner","WT.","GEW"
"IdentityRecordInner","M.O.A. IDENTITY RECORD","MfG-IDENTITÄTSAKTE"
"IdentityRecordInner","NAME:","NAME:"
"IdentityRecordInner","ALIAS:","ALIAS:"
"IdentityRecordInner","Applicant's fingerprints and claimed name/alias must match this record.","Fingerabdrücke und Name/Alias der Person müssen hierzu passen."
"IdSupplementInner","IDENTITY<br>SUPPLEMENT","ANHANG A<br>IDENTITÄT"
"IdSupplementInner","HT","GRÖ"
"IdSupplementInner","WT","GEW"
"IdSupplementInner","DESCRIPTION","BESCHREIBUNG"
"IdSupplementInner","THUMB","DAUMEN"
"IdSupplementInner","Keep on person","Stets mitführen"
"IdSupplementInner","EXP.","BIS:"
"LocketInnerOpen","To Sergiu from your Elisa","Für Sergiu von deiner Elisa"
"LocketInnerOpen","I Love You Always","Ich liebe dich"
"LoveSongInner1","YOU","DU"
"LoveSongInner1","YOU ARE HOT LIKE FIRE","DU BIST HEISS WIE FEUER"
"LoveSongInner2","you","DU"
"LoveSongInner2","OBJECT OF DESIRE","OBJEKT DER BEGIERDE"
"LoveSongInner3","YOU<br>(AGAIN)","DU<br>(WIEDER)"
"LoveSongInner3","WRAP MY HEART IN WIRE","BEREITEST MIR HERZSCHMERZ"
"LoveSongInner4","ApPROVED","GENEHMIGT"
"LoveSongInner4","APPROVE MY VISA","GIB MIR EIN VISUM"
"tweak-passport-field-padding-left","2px","2px"
"PassportInnerAntegria","ENTRY VISA","EINREISE-VISUM"
"PassportInnerAntegria","DOB.","GEB."
"PassportInnerAntegria","SEX","GES."
"PassportInnerAntegria","ISS.","AUS."
"PassportInnerAntegria","EXP.","ABL."
"PassportInnerAntegria","ANTEGRIA","ANTEGRIEN"
"tweak-passport-arstotzka-nation","16px","16px"
"PassportInnerArstotzka","ENTRY VISA","EINREISE-VISUM"
"PassportInnerArstotzka","DOB.","GEB."
"PassportInnerArstotzka","SEX","GES."
"PassportInnerArstotzka","ISS.","AUS."
"PassportInnerArstotzka","EXP.","ABL."
"PassportInnerArstotzka","ARSTOTZKA","ARSTOTZKA"
"PassportInnerImpor","ENTRY VISA","EINREISE-VISUM"
"PassportInnerImpor","DOB.","GEB."
"PassportInnerImpor","SEX","GES."
"PassportInnerImpor","ISS.","AUS."
"PassportInnerImpor","EXP.","ABL."
"PassportInnerImpor","IMPOR","IMPOR"
"PassportInnerKolechia","ENTRY VISA","EINREISE-VISUM"
"PassportInnerKolechia","DOB.","GEB."
"PassportInnerKolechia","SEX","GES."
"PassportInnerKolechia","ISS.","AUS."
"PassportInnerKolechia","EXP.","ABL."
"PassportInnerKolechia","KOLECHIA","KOLECHIEN"
"PassportInnerObristan","ENTRY VISA","EINREISE-VISUM"
"PassportInnerObristan","DOB.","GEB."
"PassportInnerObristan","SEX","GES."
"PassportInnerObristan","ISS.","AUS."
"PassportInnerObristan","EXP.","ABL."
"PassportInnerObristan","OBRISTAN","OBRISTAN"
"PassportInnerRepublia","ENTRY VISA","EINREISE-VISUM"
"PassportInnerRepublia","DOB.","GEB."
"PassportInnerRepublia","SEX","GES."
"PassportInnerRepublia","ISS.","AUS."
"PassportInnerRepublia","EXP.","ABL."
"PassportInnerRepublia","REPUBLIA","REPUBLIEN"
"PassportInnerUnitedFed","ENTRY VISA","EINREISE-VISUM"
"PassportInnerUnitedFed","DOB.","GEB."
"PassportInnerUnitedFed","SEX","GES."
"PassportInnerUnitedFed","ISS.","AUS."
"PassportInnerUnitedFed","EXP.","ABL."
"PassportInnerUnitedFed","UNITED FEDERATION","VEREINIGTE FÖDERATION"
"PlaqueOneInner","Ministry of Admission","Minister für Grenzschutz"
"PlaqueOneInner","RECOGNITION","ANERKENNUNG"
"PlaqueOneInner","FOR","FÜR"
"PlaqueOneInner","HANG ON WALL","AUFHÄNGEN"
"PlaqueTwoInner","Ministry of Admission","Minister für Grenzschutz"
"PlaqueTwoInner","RECOGNITION","ANERKENNUNG"
"PlaqueTwoInner","FOR","FÜR"
"PlaqueTwoInner","HANG ON WALL","AUFHÄNGEN"
"PoisonInnerBack","OPEN","ÖFFNEN"
"PoisonInnerOpen1","DO NOT TOUCH POWDER","PULVER NICHT BERÜHREN"
"PoisonInnerOpen1","CLOSE","SCHLIESSEN"
"PoisonInnerOpen2","ALIGN POWDER OVER PASSPORT","PULVER ÜBER<br>
PASS AUSRICHTEN"
"PoisonInnerOpen2","PUSH HARD TO AFFIX","ZUM FIXIEREN ANDRÜCKEN"
"PoisonInnerOpen2","CLOSE","SCHLIESSEN"
"PoliceBadgeInner","MINISTRY OF INFORMATION","MINISTER FÜR INFORMATION"
"PoliceBadgeInner","Office of Investigation","Büro für Ermittlungen"
"PoliceBadgeInner","East Grestin Division","Abt. Ost-Grestin"
"PoliceBadgeInner","Special Investigator","Sonderermittler"
"PoliceBadgeInner","MOI","MFI"
"PressPassInner","INTERNATIONAL","INTERNATIONALER"
"PressPassInner","PRESS","PRESSE"
"PressPassInner","IDENTIFICATION","AUSWEIS"
"RuleDiploAccess","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA","EINREISE NACH<br>ARSTOTZKA<br>MUSS ERLAUBT SEIN"
"RuleIssuingCity","PASSPORT <span>ISS.</span> FIELD MUST BE VALID","PASS-FELD <span>AUS.</span><br>MUSS GÜLTIG SEIN"
"RuleSealRequired","DOCUMENT MUST<br>HAVE A SEAL","DOKUMENT MUSS<br>GESIEGELT SEIN"
"RulesInnerHome","Arstotzkan","Arstotzka"
"RulesInnerHome","Ministry<span>of</span>Admission","Ministerium<span>für</span>Grenzschutz"
"RulesInnerHome","RULES","VORSCHRIFTEN"
"RulesInnerHome","&amp;","&amp;"
"RulesInnerHome","REGULATIONS","REGULARIEN"
"RulesInnerHome","for Inspectors","für Inspektoren"
"RulesInnerHome","CONTENTS","INHALT"
"RulesInnerHome","PROPERTY OF","EIGENTUM DES"
"RulesInnerHome","M.O.A","MfG"
"RulesInnerBasic","RULES","VORSCHRIFTEN"
"RulesInnerRegion","DIPLOMATIC SEALS","DIPLOMATEN-SIEGEL"
"RulesInnerRegion","PASSPORT","PASS"
"RulesInnerRegion","ISSUING CITIES","AUSSTELLENDE GEMEINDEN"
"RulesInnerRegionArstotzka","DISTRICTS","DISTRIKTE"
"RulesInnerRegionArstotzka","PASSPORT","PASS"
"RulesInnerRegionArstotzka","ISSUING CITIES","AUSSTELLENDE GEMEINDEN"
"RulesInnerBooth","INSPECTOR'S BOOTH","GRENZPOSTEN-KABINE"
"RulesInnerBooth","Shutter","Rolladen"
"RulesInnerBooth","Counter","Tresen"
"RulesInnerBooth","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date","Vorschriften<br>Audio-Trans.<br>Depeschen<br>Zeit &amp; Datum"
"RulesInnerBooth","UPGRADES","VERBESSERUNGEN"
"RulesInnerBooth","NO UPGRADES<br>INSTALLED","KEINE VERBESSERUNGEN<br>INSTALLIERT"
"RulesInnerBooth2","INSPECTOR'S BOOTH","GRENZPOSTEN-KABINE"
"RulesInnerBooth2","Shutter","Rolladen"
"RulesInnerBooth2","Counter","Tresen"
"RulesInnerBooth2","Audio Trans.<br>Rule Book<br>Weight","Audio-Trans.<br>
Vorschriften<br>
Gewicht"
"RulesInnerBooth2","Bulletin<br>Time &amp; Date","Depeschen<br>Zeit &amp; Datum"
"RulesInnerBooth2","UPGRADES","VERBESSERUNGEN"
"RulesInnerBooth2","NO UPGRADES<br>INSTALLED","KEINE VERBESSERUNGEN<br>INSTALLIERT"
"RulesInnerDocs","OFFICIALLY RECOGNIZED","OFFIZIELL ANERKANNTE"
"RulesInnerDocs","DOCUMENTS","DOKUMENTE"
"RulesInnerDocs","CONTENTS","INHALT"
"RulesInnerEntryPermit","ENTRY PERMIT","EINREISE-GENEHMIGUNG"
"RulesInnerEntryPermit","VALID SEALS","GÜLTIGE SIEGEL"
"RulesInnerIdCard","ARSTOTZKAN<br>ID CARD","ARSTOTZKA<br>AUSWEIS"
"RulesInnerIdCard","ISSUED TO ALL ARSTOTZKAN CITIZENS","AUSGESTELLT FÜR ALLE BÜRGER VON ARSTOTZKA"
"RulesInnerIdCard","DISTRICTS","DISTRIKTE"
"RulesInnerIdSupplement","IDENTITY<br>SUPPLEMENT","ANHANG A<br>IDENTITÄT"
"RulesInnerIdSupplement","ISSUED TO ALL QUALIFIED FOREIGNERS","AUSGESTELLT FÜR ER-WÜNSCHTE AUSLÄNDER"
"RulesInnerIdSupplement","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE","ZUR PRÜFUNG DES AUSSEHENS DES AUSLÄNDERS"
"RulesInnerIdSupplement","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE","DAUMENABDRUCK NUR PRÜFEN WENN FINGER-ABDRÜCKE IN DEN AKTEN SIND"
"RulesInnerIdSupplement","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY","DIES IST EIN TEMPORÄRES DOKUMENT - ABLAUFDATUM EINGEHEND PRÜFEN"
"RulesInnerAccessPermit","ACCESS PERMIT","VISUM"
"RulesInnerAccessPermit","VALID SEALS","GÜLTIGE SIEGEL"
"RulesInnerAccessPermit","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT","DIESES DOKUMENT ERSETZT EINREISE-GENEHMIGUNG UND ANHANG A IDENTITÄT"
"RulesInnerWorkPermit","WORK PASS","ARBEITSAUSWEIS"
"RulesInnerWorkPermit","ISSUED TO ALL QUALIFIED FOREIGN LABOR","AUSGESTELLT FÜR ERWÜNSCHTE FREMDARBEITER"
"RulesInnerWorkPermit","VALID SEALS","GÜLTIGE SIEGEL"
"RulesInnerDiplomaticAuth","DIPLOMATIC","DIPLOMATISCHE"
"RulesInnerDiplomaticAuth","AUTHORIZATION","AKKREDITIERUNG"
"RulesInnerDiplomaticAuth","VALIDATE SEAL WITH COUNTRY PAGE","SIEGEL ANHAND<br>LÄNDER-SEITE PRÜFEN"
"RulesInnerAsylumGrant","GRANT OF<br>ASYLUM","ASYL<br>BESCHEID"
"RulesInnerAsylumGrant","VALID SEALS","GÜLTIGE SIEGEL"
"RulesInnerAsylumGrant","ALWAYS VERIFY FINGERPRINTS","FINGERABDRÜCKE SIND STETS ZU ÜBERPRÜFEN"
"RulesInnerVaccineCert","VACCINE CERTIFICATE","IMPF-BESCHEINIGUNG"
"RulesInnerVaccineCert","MINISTRY","MINISTERIUM"
"RulesInnerVaccineCert","OF","FÜR"
"RulesInnerVaccineCert","HEALTH","GESUNDHEIT"
"RulesInnerVaccineCert","REGULATION DOCUMENT","REGULATORISCHES DOKUMENT"
"RulesInnerVaccineCert","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS","POLIO-IMPFUNG BEI ALLEN EINREISENDEN ERFORDERLICH"
"RulesInnerVaccineCert","NO EXCEPTIONS","KEINE AUSNAHMEN"
"RulesInnerConfiscation","PASSPORT CONFISCATION","PASS-KONFISZIERUNG"
"RulesInnerConfiscation","DROP PASSPORT IN CONFISCATION DRAWER","PASS IN KONFISZIERUNGS-SCHUBLADE WERFEN"
"RulesInnerConfiscation","POLICY","RICHTLINIE"
"RulesInnerConfiscation","PASSPORT MUST BE CONFISCATED BEFORE DETAINING","KONFISZIERUNG BEI ARREST VOR DER VERHAFTUNG DURCHFÜHREN."
"RulesInnerConfiscation","MOI","MfI"
"RulesInnerLast","PROPERTY OF","EIGENTUM DES"
"RulesInnerLast","M.O.A.","MfG"
"RulesInnerLast","GLORY TO ARSTOTZKA","ES LEBE ARSTOTZKA"
"RulesInnerLast","Arstotzkan","Arstotzka"
"RulesInnerLast","Ministry of Admission","Ministerium für Grenzschutz"
"RulesInnerLast","Rules &amp; Regulations","Vorschriften &amp; Regularien"
"RulesInnerLast","for Inspectors","für Inspektoren"
"RulesInnerLast","1982-1983 Edition","Edition 1982-1983"
"RulesInnerLast","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY","VERBREITUNG UNTER<br>SCHWERER STRAFE<br>VERBOTEN"
"RulesTabConfL","CONF.","VERTR."
"RulesTabConfR","CONF.","VERTR."
"RulesTabDocsL","DOCS","DOK."
"RulesTabDocsR","DOCS","DOK."
"RulesTabMapL","MAP","KARTE"
"RulesTabMapR","MAP","KARTE"
"RulesTabRulesL","RULES","VORS."
"RulesTabRulesR","RULES","VORS."
"RulesUpgrade0","TOGGLE INSPECT","PRÜFEN"
"RulesUpgrade0","SPACE","LEERTASTE"
"RulesUpgrade1","TOGGLE STAMP BAR","STEMPELBANK"
"RulesUpgrade1","TAB","TAB"
"RulesUpgrade2","RULEBOOK SHORTCUTS","VORSCHRIFTEN-KÜRZEL"
"RulesUpgrade3","QUICK INSPECT","SCHNELLPRÜFUNG"
"RulesUpgrade3","DOUBLE-CLICK","DOPPELKLICK"
"RulesUpgrade4","MULTITOUCH","MULTITOUCH"
"SeizureSlipInner","Arstotzka Ministry of Admission","Ministerium für Grenzschutz"
"SeizureSlipInner","PASSPORT SEIZURE SLIP","PASS-EINZUGSQUITTUNG"
"SeizureSlipInner","ENTRY VISA","EINREISE-VISUM"
"SeizureSlipInner","Your passport has been seized.","Ihr Pass wurde eingezogen."
"SeizureSlipInner","Contact 1509-6103 for redress.","Näheres unter 1509-6103."
"SpyDocsInnerBack","Mating Habits of Lesser Kolechian Waterfowl","Balzverhalten der Wasservögel von<br>Nieder-Kolechien"
"SpyDocsInnerBack","A FULL REPORT","EIN VOLLSTÄNDIGER BERICHT"
"SpyDocsInnerBack","Ministry of Information","Ministerium<br>für<br>Information"
"TranscriptInner","AUDIO TRANSCRIPT","AUDIO-TRANSKRIPT"
"VaccineCertInner","Certificate<span>of</span>Vaccination","Impf-<br><br>Bescheinigung"
"VaccineCertInner","ID#","NR:"
"VaccineCertInner","DATE","DATUM"
"VaccineCertInner","VACCINE","IMPFUNG"
"VaccineCertInner","Vax valid for 3 years","Impfung hält 3 Jahre lang"
"VisaSlipInner","TEMPORARY VISA SLIP","TEMPORÄRER VISUMSBELEG"
"VisaSlipInner","ENTRY VISA","EINREISE-VISUM"
"VisaSlipInner","TO BE USED FOR DENIALS ONLY","NUR FÜR ABGELEHNTE EINREISEWILLIGE"
"WorkPermitInner","Ministry of Labor","Ministerium für Arbeit"
"WorkPermitInner","Work Pass","Arbeitsausweis"
"WorkPermitInner","This pass grants its holder the right to work in a specific field for a limited time.","Dieser Ausweis berechtigt seinen Inhaber, für begrenzte Zeit in einem bestimmten Bereich zu arbeiten."
"WorkPermitInner","HOLDER","NAME"
"WorkPermitInner","FIELD","SPARTE"
"WorkPermitInner","UNTIL","BIS"
"WorkPermitInner","Keep this pass with you at all times.","Der Ausweis ist stets mitzuführen."
"EndNews","Kolechian Consensus Reached Over Grestin","Kolechien stimmt Grestin-Lösung zu"
"ApartmentClass","CLASS","KLASSE"
"DetainButton","DETAIN","ARREST"
"FingerprintButton","FINGERPRINT","FINGERABDR."
"SearchButton","SEARCH","SCANNER"
"EmblemsMOA","M.O.A","MfG"
"EmblemsMOA","M.O.L","MfA"
"EmblemsMOL","M.O.L","MfA"
"Filer","CONFISCATED DOCUMENTS","KONFISZIERTE DOKUMENTE"
"Filer","PROPERTY OF","EIGENTUM DES"
"Filer","M.O.A.","MfG"
"GiveIcon","GIVE","GEBEN"
"LoadButtonNew","NEW","NEU"
"LoadDay","DAY","TAG"
"LoadDrag","DRAG TO SCROLL","ZUM SCROLLEN ZIEHEN"
"News","The Truth of Arstotzka","Die Wahrheit von Arstotzka"
"News","No Charge","Unbezahlbar"
"ReasonButton","REASON","GRUND"
"RifleKill","KILL","TÖDLICH"
"RifleTranq","TRANQ","NARKOSE"
"StampBarMid","ALIGN VISA BENEATH STAMP","PASS UNTER STEMPEL AUSRICHTEN"
"Upgrades","SPACE","LEERT."
"Upgrades","TAB","TAB"
"image:ArskickersInner.png","capture/ArskickersInner.png","final/de/ArskickersInner.png"
"ArskickersInner","HANG ON WALL","AUFHÄNGEN"
"image:BrothelFlyerInner.png","capture/BrothelFlyerInner.png","final/de/BrothelFlyerInner.png"
"BrothelFlyerInner","East Grestin","Ost-Grestin"
"BrothelFlyerInner","FOR ALL YOUR FANTASIES","FÜR ALLE IHRE FANTASIEN"
"image:PezpertInner.png","capture/PezpertInner.png","final/de/PezpertInner.png"
"PezpertInner","STAMP HERE","STEMPEL HIER"
"image:SonDrawingInner.png","capture/SonDrawingInner.png","final/de/SonDrawingInner.png"
"SonDrawingInner","hanG on wAll","auFhäNgeN"
"image:SonDrawingOuter.png","capture/SonDrawingOuter.png","final/de/SonDrawingOuter.png"
"image:SonDrawingMount.png","capture/SonDrawingMount.png","final/de/SonDrawingMount.png"
"image:VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png"
"image:Emotions.png","export/Emotions.png","final/de//Emotions.png"
"image:LoadButtonLatest.png","export/LoadButtonLatest.png","final/de//LoadButtonLatest.png"
"image:InkApproved.png","export/InkApproved.png","final/de/InkApproved.png"
"image:InkDenied.png","export/InkDenied.png","final/de/InkDenied.png"
"image:StampBotApproved.png","export/StampBotApproved.png","final/de/StampBotApproved.png"
"image:StampBotDenied.png","export/StampBotDenied.png","final/de/StampBotDenied.png"
"image:ReasonStampTop.png","export/ReasonStampTop.png","final/de/ReasonStampTop.png"
"image:InkReason.png","export/InkReason.png","final/de/InkReason.png"
"image:Arstotzka.png","export/Arstotzka.png","export/Arstotzka.png"
"image:Intro1.png","export/Intro1.png","export/Intro1.png"
"image:Obrinspector.png","export/Obrinspector.png","export/Obrinspector.png"
"image:Shutter.png","export/Shutter.png","export/Shutter.png"
"news:RANDOM_WEATHER","The Weather","Das Wetter"
"news:RANDOM_SPORTS","Sports","Sport"
"news:RANDOM_ENTERTAINMENT","Entertainment","Unterhaltung"
"news:RANDOM_POLITICS","Politics","Politik"
"news:FIRST_DAY","Grestin Border Checkpoint Opens At Last!","Grenzübergang Grestin endlich eröffnet!"
"news:FIRST_DAY","After 6 Long Years. Can the Ministry of Admission Keep Us Safe?","Nach 6 langen Jahren. Ist unsere Sicherheit  auch wirklich garantiert?"
